City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,yefremov,53.1481,38.0992,273.96,80,100,5.26,RU,1698609089
292,carutapera,-1.195,-46.02,301.81,66,90,4.91,BR,1698609089
293,anse,45.9302,4.7158,292.6,63,100,0.45,FR,1698609090
294,great bend,38.3645,-98.7648,275.16,67,100,8.23,US,1698609091
295,zheleznogorsk-ilimskiy,56.5768,104.1217,265.02,96,77,1.79,RU,1698609091
296,kralendijk,12.15,-68.2667,306.14,58,40,3.6,BQ,1698609092
297,luanda,-8.8368,13.2343,299.15,83,20,4.12,AO,1698608921
298,luderitz,-26.6481,15.1594,294.71,33,1,6.33,NA,1698609093
299,tenno,39.9,139.9667,286.13,75,12,1.83,JP,1698608968
300,oranjemund,-28.55,16.4333,291.95,46,0,5.97,NA,1698609095
301,markovo,57.3206,107.0881,266.65,80,100,1.94,RU,1698609095
302,vijayawada,16.5167,80.6167,299.12,93,24,1.54,IN,1698609096
303,peno,56.9262,32.7426,268.29,97,99,1.53,RU,1698609096
304,lospalos,-8.5186,127.0025,294.96,87,75,1.0,TL,1698609097
305,scarborough,54.2797,-0.4044,283.52,92,100,0.45,GB,1698609097
306,malanje,-9.5402,16.341,295.71,68,57,1.86,AO,1698609098
307,assab,13.0092,42.7394,301.26,76,5,9.93,ER,1698609098
308,kapa'a,22.0752,-159.319,301.14,76,75,2.06,US,1698609099
309,dunedin,-45.8742,170.5036,283.55,74,84,0.51,NZ,1698609100
310,natal,-5.795,-35.2094,301.51,65,40,9.77,BR,1698608958
311,coquimbo,-29.9533,-71.3436,292.0,63,0,6.17,CL,1698609101
312,arraial do cabo,-22.9661,-42.0278,302.13,74,0,5.66,BR,1698609051
313,yabelo,4.8833,38.0833,289.15,87,96,1.31,ET,1698609102
314,kununurra,-15.7667,128.7333,295.14,88,75,0.0,AU,1698609103
315,arcadia,34.1397,-118.0353,299.51,29,0,2.57,US,1698609103
316,galveston,29.3669,-94.9669,304.92,73,20,4.12,US,1698609104
317,kitimat,54.0524,-128.6534,272.36,45,84,0.25,CA,1698609104
318,ojinaga,29.5667,-104.4167,302.68,48,40,5.66,MX,1698609105
319,lompoc,34.6391,-120.4579,300.2,38,0,3.09,US,1698608866
320,murashi,59.3999,48.9615,270.18,91,100,1.94,RU,1698609106
321,at taraf,25.3628,49.725,300.45,76,69,1.85,SA,1698609107
322,al lagowa,11.4,29.1333,299.76,58,21,1.93,SD,1698609108
323,howard springs,-12.497,131.047,300.83,86,82,1.24,AU,1698609108
324,ambovombe,-25.1667,46.0833,296.28,81,0,3.89,MG,1698609109
325,jinghong,21.991,100.7341,292.45,99,100,1.02,CN,1698609109
326,poltar,48.4309,19.7941,284.78,88,92,0.92,SK,1698609110
327,lanivtsi,49.8633,26.0908,285.31,70,67,5.17,UA,1698609110
328,amarante do maranhao,-5.5667,-46.7422,310.86,20,71,3.25,BR,1698609111
329,east london,-33.0153,27.9116,287.98,63,96,4.74,ZA,1698608962
330,wallersdorf,48.7333,12.75,285.22,84,100,1.9,DE,1698609112
331,sao fidelis,-21.6461,-41.7469,302.12,65,99,1.33,BR,1698608938
332,dwarka,22.2394,68.9678,300.46,71,67,4.07,IN,1698609113
333,parabel',58.6978,81.4825,263.66,94,19,1.34,RU,1698609114
334,la nucia,38.6137,-0.1269,291.14,62,100,3.02,ES,1698609114
335,hastings,50.8552,0.5729,287.33,31,43,11.69,GB,1698609115
336,aldinga beach,-35.2793,138.4604,287.15,81,35,7.09,AU,1698609115
337,cabo san lucas,22.8909,-109.9124,304.05,67,0,3.86,MX,1698608871
338,kone,-21.0595,164.8658,294.14,57,18,1.84,NC,1698609117
339,manta,-0.95,-80.7333,302.03,65,75,2.57,EC,1698609008
340,zhangjiakou shi xuanhua qu,40.6103,115.0447,284.67,38,0,2.27,CN,1698609118
341,yanam,16.7333,82.2167,297.67,77,10,1.53,IN,1698609118
342,zapolyarnyy,69.4154,30.8136,265.75,96,100,1.16,RU,1698609119
343,wuwei,37.9281,102.6414,283.73,29,0,1.67,CN,1698609119
344,alexandria,31.2156,29.9553,296.45,70,12,5.4,EG,1698609120
345,quelimane,-17.8786,36.8883,299.07,85,15,4.15,MZ,1698609121
346,rongelap,11.1635,166.8941,301.66,71,100,9.03,MH,1698609121
347,miles city,46.4083,-105.8406,270.69,68,100,8.75,US,1698609117
348,ujae,8.9322,165.7642,302.02,73,37,8.91,MH,1698609123
349,mersa matruh,31.3525,27.2453,297.26,69,40,3.09,EG,1698609123
350,fort bragg,35.139,-79.006,302.0,48,0,5.14,US,1698608885
351,maun,-19.9833,23.4167,302.13,30,0,1.03,BW,1698609125
352,codrington,-38.2667,141.9667,283.24,87,7,6.61,AU,1698609125
353,deniliquin,-35.5333,144.9667,286.28,43,99,1.92,AU,1698609126
354,colares,38.7992,-9.4469,290.79,94,11,10.28,PT,1698609127
355,bandrele,-12.9067,45.1914,300.01,83,0,2.57,YT,1698609127
